Listing_ID,Neighbourhood,Latitude,Longitude,Room_Type,Property_Type,Date,Month,Season,Price_Per_Night_INR,Cleaning_Fee_INR,Availability_365,Minimum_Nights,Occupancy_Rate,Number_Of_Bookings,Average_Stay_Length,Revenue_Estimated_INR,Review_Count,Review_Score_Rating,Guest_Origin_Country,Event_Flag,Price_Band,Rating_Band,Occupancy_Band,Revenue_Per_Available_Day_INR
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-01-01,1,Winter,5249,279,359,1,0.79,24,3,125976,16,4.4,India,0,Premium (₹4K–₹7K),4.0–4.49,Very High (>75%),350.908077994429
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-02-01,2,Winter,4050,279,359,1,0.79,23,3,93150,13,4.8,India,0,Premium (₹4K–₹7K),4.5–5.0,Very High (>75%),259.4707520891365
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-03-01,3,Spring,4412,279,359,1,0.64,20,3,88240,279,4.3,India,0,Premium (₹4K–₹7K),4.0–4.49,High (51–75%),245.79387186629526
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-04-01,4,Spring,4412,279,359,1,0.59,18,2,79416,142,3.7,Germany,0,Premium (₹4K–₹7K),3.5–3.99,High (51–75%),221.21448467966573
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-05-01,5,Spring,3752,279,359,1,0.47,15,1,56280,81,4.1,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),156.76880222841226
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-06-01,6,Summer,4158,279,359,1,0.42,13,2,54054,79,3.9,India,0,Premium (₹4K–₹7K),3.5–3.99,Moderate (26–50%),150.5682451253482
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-07-01,7,Monsoon,3979,279,359,1,0.52,16,3,63664,52,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),177.33704735376045
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-08-01,8,Monsoon,3402,279,359,1,0.48,15,1,51030,176,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),142.1448467966574
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-09-01,9,Autumn,3866,279,359,1,0.61,18,4,69588,235,4.3,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),193.83844011142062
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-10-01,10,Autumn,4038,279,359,1,0.47,15,5,60570,193,5.0,India,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),168.71866295264624
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-11-01,11,Winter,4094,279,359,1,0.4,12,3,49128,185,4.8,India,0,Premium (₹4K–₹7K),4.5–5.0,Moderate (26–50%),136.84679665738162
1,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-12-01,12,Winter,4876,279,359,1,0.59,18,3,87768,23,3.7,India,0,Premium (₹4K–₹7K),3.5–3.99,High (51–75%),244.4791086350975
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-01-01,1,Winter,2529,329,163,3,0.63,20,2,50580,343,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),310.30674846625766
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-02-01,2,Winter,1846,329,163,3,0.38,11,3,20306,311,4.2,India,0,Budget (≤₹2K),4.0–4.49,Moderate (26–50%),124.57668711656441
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-03-01,3,Spring,2004,329,163,3,0.76,24,3,48096,125,4.6,India,0,Mid-range (₹2K–₹4K),4.5–5.0,Very High (>75%),295.0674846625767
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-04-01,4,Spring,1744,329,163,3,0.65,20,2,34880,327,4.3,India,0,Budget (≤₹2K),4.0–4.49,High (51–75%),213.98773006134968
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-05-01,5,Spring,1771,329,163,3,0.69,21,2,37191,166,4.9,Australia,0,Budget (≤₹2K),4.5–5.0,High (51–75%),228.16564417177915
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-06-01,6,Summer,2092,329,163,3,0.47,14,3,29288,117,4.4,France,0,Mid-range (₹2K–₹4K),4.0–4.49,Moderate (26–50%),179.68098159509202
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-07-01,7,Monsoon,1781,329,163,3,0.75,23,4,40963,205,4.3,India,0,Budget (≤₹2K),4.0–4.49,High (51–75%),251.30674846625766
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-08-01,8,Monsoon,1678,329,163,3,0.43,13,2,21814,290,4.0,Singapore,0,Budget (≤₹2K),3.5–3.99,Moderate (26–50%),133.82822085889572
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-09-01,9,Autumn,2068,329,163,3,0.8,24,2,49632,335,4.5,India,0,Mid-range (₹2K–₹4K),4.0–4.49,Very High (>75%),304.4907975460123
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-10-01,10,Autumn,2106,329,163,3,0.65,20,4,42120,329,4.2,India,0,Mid-range (₹2K–₹4K),4.0–4.49,High (51–75%),258.4049079754601
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-11-01,11,Winter,1978,329,163,3,0.83,25,2,49450,287,4.5,India,0,Budget (≤₹2K),4.0–4.49,Very High (>75%),303.37423312883436
2,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-12-01,12,Winter,2694,329,163,3,0.21,7,3,18858,219,4.8,UAE,0,Mid-range (₹2K–₹4K),4.5–5.0,Low (≤25%),115.69325153374233
