listing_id,host_id,neighbourhood,latitude,longitude,room_type,property_type,date,month,season,price_per_night_inr,cleaning_fee_inr,availability_365,minimum_nights,occupancy_rate,number_of_bookings,average_stay_length,revenue_estimated_inr,review_count,review_scores_rating,guest_origin_country,event_flag
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-01-01,1,Winter,5249,279,359,1,0.79,24,3,125976,16,4.4,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-02-01,2,Winter,4050,279,359,1,0.79,23,3,93150,13,4.8,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-03-01,3,Spring,4412,279,359,1,0.64,20,3,88240,279,4.3,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-04-01,4,Spring,4412,279,359,1,0.59,18,2,79416,142,3.7,Germany,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-05-01,5,Spring,3752,279,359,1,0.47,15,1,56280,81,4.1,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-06-01,6,Summer,4158,279,359,1,0.42,13,2,54054,79,3.9,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-07-01,7,Monsoon,3979,279,359,1,0.52,16,3,63664,52,4.5,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-08-01,8,Monsoon,3402,279,359,1,0.48,15,1,51030,176,4.5,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-09-01,9,Autumn,3866,279,359,1,0.61,18,4,69588,235,4.3,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-10-01,10,Autumn,4038,279,359,1,0.47,15,5,60570,193,5.0,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-11-01,11,Winter,4094,279,359,1,0.4,12,3,49128,185,4.8,India,0
1,93810,Whitefield,12.710004,77.532509,Entire home/apt,Apartment,2024-12-01,12,Winter,4876,279,359,1,0.59,18,3,87768,23,3.7,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-01-01,1,Winter,2529,329,163,3,0.63,20,2,50580,343,4.5,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-02-01,2,Winter,1846,329,163,3,0.38,11,3,20306,311,4.2,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-03-01,3,Spring,2004,329,163,3,0.76,24,3,48096,125,4.6,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-04-01,4,Spring,1744,329,163,3,0.65,20,2,34880,327,4.3,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-05-01,5,Spring,1771,329,163,3,0.69,21,2,37191,166,4.9,Australia,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-06-01,6,Summer,2092,329,163,3,0.47,14,3,29288,117,4.4,France,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-07-01,7,Monsoon,1781,329,163,3,0.75,23,4,40963,205,4.3,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-08-01,8,Monsoon,1678,329,163,3,0.43,13,2,21814,290,4.0,Singapore,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-09-01,9,Autumn,2068,329,163,3,0.8,24,2,49632,335,4.5,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-10-01,10,Autumn,2106,329,163,3,0.65,20,4,42120,329,4.2,India,0
2,20458,Frazer Town,13.046593,77.564038,Entire home/apt,Villa,2024-11-01,11,Winter,1978,329,163,3,0.83,25,2,49450,287,4.5,India,0
